Device,Epsilon,Time,Type,Boxes,Runs
3060 Ti 8GB,0.1,3424,float,1073741824,8
3060 Ti 8GB,0.06,211982,float,68719476736,512
3060 Ti 8GB,0.03,13148015,float,4.39805E+12,32768
3060 Ti 8GB,0.1,2041,half,1073741824,4
3060 Ti 8GB,0.06,114540,half,68719476736,256
3060 Ti 8GB,0.03,7463943,half,4.39805E+12,16384
V100 16GB,0.1,1725,float,1073741824,4
V100 16GB,0.06,108296,float,68719476736,256
V100 16GB,0.03,6900080,float,4.39805E+12,16384
V100 16GB,0.1,1599,half,1073741824,2
V100 16GB,0.06,99614,half,68719476736,128
V100 16GB,0.03,6373648,half,4.39805E+12,8192
V100 32GB,0.1,1864,float,1073741824,2
V100 32GB,0.06,116637,float,68719476736,128
V100 32GB,0.03,7374800,float,4.39805E+12,8192
V100 32GB,0.1,1618,half,1073741824,1
V100 32GB,0.06,100648,half,68719476736,64
V100 32GB,0.03,6441754,half,4.39805E+12,4096
A100 40GB,0.1,1032,float,1073741824,2
A100 40GB,0.06,62783,float,68719476736,128
A100 40GB,0.03,3939303,float,4.39805E+12,8192
A100 40GB,0.1,641,half,1073741824,1
A100 40GB,0.06,36130,half,68719476736,64
A100 40GB,0.03,2274617,half,4.39805E+12,4096
A100 40GB x2,0.1,860,float,1073741824,1
A100 40GB x2,0.06,31260,float,68719476736,64
A100 40GB x2,0.03,1972117,float,4.39805E+12,4096
A100 40GB x2,0.1,587,half,1073741824,1
A100 40GB x2,0.06,18030,half,68719476736,32
A100 40GB x2,0.03,1123189,half,4.39805E+12,2048
A100 40GB x4,0.1,1393,float,1073741824,1
A100 40GB x4,0.06,16471,float,68719476736,32
A100 40GB x4,0.03,10179,float,4.39805E+12,2048
A100 40GB x4,0.1,1254,half,1073741824,1
A100 40GB x4,0.06,9854,half,68719476736,16
A100 40GB x4,0.03,561906,half,4.39805E+12,1024
A100 40GB x8,0.1,2180,float,1073741824,1
A100 40GB x8,0.06,10179,float,68719476736,16
A100 40GB x8,0.03,494029,float,4.39805E+12,1024
A100 40GB x8,0.1,2073,half,1073741824,1
A100 40GB x8,0.06,6772,half,68719476736,8
A100 40GB x8,0.03,282741,half,4.39805E+12,512
CPU,0.1,1710086,float,321267165,1
CPU,0.06,54028750,float,1876027975,1
CPU,0.1,1710086,half,321267165,1
CPU,0.06,54028750,half,1876027975,1
