Device,Epsilon,Time,Type,Boxes,Runs
3060 Ti 8GB,1e-2,37,float,4194304,1
3060 Ti 8GB,1e-3,3625,float,1073741824,4
3060 Ti 8GB,1e-4,103437,float,68719476736,256
3060 Ti 8GB,1e-5,6463740,float,4398046511104,16384
3060 Ti 8GB,1e-2,19,half,4194304,1
3060 Ti 8GB,1e-3,3132,half,1073741824,2
3060 Ti 8GB,1e-4,57052,half,68719476736,128
3060 Ti 8GB,1e-5,3499940,half,4398046511104,8192
V100 16GB,1e-2,39,float,4194304,1
V100 16GB,1e-3,5373,float,1073741824,1
V100 16GB,1e-4,98936,float,68719476736,128
V100 16GB,1e-5,6071450,float,4398046511104,8192
V100 16GB,1e-2,22,half,4194304,1
V100 16GB,1e-3,4842,half,1073741824,1
V100 16GB,1e-4,55501,half,68719476736,64
V100 16GB,1e-5,3290443,half,4398046511104,4096
V100 32GB,1e-2,39,float,4194304,1
V100 32GB,1e-3,8174,float,1073741824,1
V100 32GB,1e-4,101878,float,68719476736,64
V100 32GB,1e-5,6070690,float,4398046511104,4096
V100 32GB,1e-2,17,half,4194304,1
V100 32GB,1e-3,4298,half,1073741824,1
V100 32GB,1e-4,58348,half,68719476736,32
V100 32GB,1e-5,3271100,half,4398046511104,2048
A100 40GB,1e-2,35,float,4194304,1
A100 40GB,1e-3,8661,float,1073741824,1
A100 40GB,1e-4,107438,float,68719476736,32
A100 40GB,1e-5,5940950,float,4398046511104,2048
A100 40GB,1e-2,19,half,4194304,1
A100 40GB,1e-3,4594,half,1073741824,1
A100 40GB,1e-4,64817,half,68719476736,16
A100 40GB,1e-5,3177030,half,4398046511104,1024
A100 40GB x2,1e-2,430,float,4194304,1
A100 40GB x2,1e-3,10120,float,1073741824,1
A100 40GB x2,1e-4,103124,float,68719476736,16
A100 40GB x2,1e-5,6964450,float,4398046511104,1024
A100 40GB x2,1e-2,292,half,4194304,1
A100 40GB x2,1e-3,5616,half,1073741824,1
A100 40GB x2,1e-4,57560,half,68719476736,8
A100 40GB x2,1e-5,3605100,half,4398046511104,512
A100 40GB x4,1e-2,760,float,4194304,1
A100 40GB x4,1e-3,11784,float,1073741824,1
A100 40GB x4,1e-4,105390,float,68719476736,8
A100 40GB x4,1e-5,3635880,float,4398046511104,512
A100 40GB x4,1e-2,853,half,4194304,1
A100 40GB x4,1e-3,5420,half,1073741824,1
A100 40GB x4,1e-4,82124,half,68719476736,4
A100 40GB x4,1e-5,1905760,half,4398046511104,256
A100 40GB x8,1e-2,2172,float,4194304,1
A100 40GB x8,1e-3,12447,float,1073741824,1
A100 40GB x8,1e-4,204537,float,68719476736,4
A100 40GB x8,1e-5,4227760,float,4398046511104,256
A100 40GB x8,1e-2,2100,half,4194304,1
A100 40GB x8,1e-3,7301,half,1073741824,1
A100 40GB x8,1e-4,156883,half,68719476736,2
A100 40GB x8,1e-5,2217960,half,4398046511104,128
CPU,1e-2,29,float,71655,1
CPU,1e-3,468,float,1148383,1
CPU,1e-4,3818,float,9194263,1
CPU,1e-5,30732,float,73566599,1
CPU,1e-2,29,half,71655,1
CPU,1e-3,468,half,1148383,1
CPU,1e-4,3818,half,9194263,1
CPU,1e-5,30732,half,73566599,1
