Device,Epsilon,Time,Type,Boxes,Runs
3060 Ti 8GB,0.01,6,float,262144,1
3060 Ti 8GB,0.001,799,float,16777216,1
3060 Ti 8GB,0.0001,4461,float,1073741824,4
3060 Ti 8GB,0.00001,383811,float,274877906944,1024
3060 Ti 8GB,0.01,4,half,262144,1
3060 Ti 8GB,0.001,67,half,16777216,1
3060 Ti 8GB,0.0001,3303,half,1073741824,2
3060 Ti 8GB,0.00001,204567,half,274877906944,512
V100 16GB,0.01,3,float,262144,1
V100 16GB,0.001,144,float,16777216,1
V100 16GB,0.0001,5241,float,1073741824,2
V100 16GB,0.00001,372590,float,274877906944,512
V100 16GB,0.01,1,half,262144,1
V100 16GB,0.001,76,half,16777216,1
V100 16GB,0.0001,5142,half,1073741824,1
V100 16GB,0.00001,200305,half,274877906944,256
V100 32GB,0.01,2,float,262144,1
V100 32GB,0.001,128,float,16777216,1
V100 32GB,0.0001,8338,float,1073741824,1
V100 32GB,0.00001,375094,float,274877906944,256
V100 32GB,0.01,1,half,262144,1
V100 32GB,0.001,67,half,16777216,1
V100 32GB,0.0001,4309,half,1073741824,1
V100 32GB,0.00001,204084,half,274877906944,128
A100 40GB,0.01,2,float,262144,1
A100 40GB,0.001,136,float,16777216,1
A100 40GB,0.0001,8616,float,1073741824,1
A100 40GB,0.00001,376657,float,274877906944,128
A100 40GB,0.01,1,half,262144,1
A100 40GB,0.001,73,half,16777216,1
A100 40GB,0.0001,4561,half,1073741824,1
A100 40GB,0.00001,208053,half,274877906944,64
A100 40GB x2,0.01,236,float,262144,1
A100 40GB x2,0.001,540,float,16777216,1
A100 40GB x2,0.0001,8483,float,1073741824,1
A100 40GB x2,0.00001,429352,float,274877906944,64
A100 40GB x2,0.01,403,half,262144,1
A100 40GB x2,0.001,349,half,16777216,1
A100 40GB x2,0.0001,7261,half,1073741824,1
A100 40GB x2,0.00001,227864,half,274877906944,32
A100 40GB x4,0.01,800,float,262144,1
A100 40GB x4,0.001,1107,float,16777216,1
A100 40GB x4,0.0001,8808,float,1073741824,1
A100 40GB x4,0.00001,346272,float,274877906944,32
A100 40GB x4,0.01,731,half,262144,1
A100 40GB x4,0.001,1054,half,16777216,1
A100 40GB x4,0.0001,4965,half,1073741824,1
A100 40GB x4,0.00001,175196,half,274877906944,16
A100 40GB x8,0.01,1971,float,262144,1
A100 40GB x8,0.001,2376,float,16777216,1
A100 40GB x8,0.0001,10730,float,1073741824,1
A100 40GB x8,0.00001,321001,float,274877906944,16
A100 40GB x8,0.01,2173,half,262144,1
A100 40GB x8,0.001,2250,half,16777216,1
A100 40GB x8,0.0001,7475,half,1073741824,1
A100 40GB x8,0.00001,319831,half,274877906944,8
CPU,0.01,3,float,16359,1
CPU,0.001,26,float,131719,1
CPU,0.0001,208,float,1054639,1
CPU,0.00001,3546,float,16876375,1
CPU,0.01,3,half,16359,1
CPU,0.001,26,half,131719,1
CPU,0.0001,208,half,1054639,1
CPU,0.00001,3546,half,16876375,1
